date,guess
2020-02-17, 4
2020-02-24, 2
2020-03-10, 2
2020-03-13, 5
2020-03-16, 5
2020-03-23, 7
2020-03-24, 2
2020-03-27, 8
2020-04-01, 8
2020-04-28, 6
2020-05-29, -8
2020-06-10, 4
2020-06-13, -8
2020-06-30, 5
2020-07-02, 5
2020-08-30, -5
2020-10-01, 5
2020-10-22, -3
2020-11-20, 8
2020-12-03, 8
2020-12-08, 3
2020-12-14, 5
2020-12-22, 10
2021-01-20, -7
2021-02-04, 4
2021-02-26, 10
2021-03-25, 3




2021-11-18, 3
2021-11-24, 5
2021-11-25, 5
2021-11-26, 8
2021-11-27, 3
2021-11-28, 2
2021-11-30, -2
2021-12-02, 1
2021-12-06, -3
2021-12-07, 2
2021-12-21, 8
2021-12-22, -6
2022-01-05, 8
2022-01-08, -5
2022-01-10, 5
2022-01-11, 2
2022-01-27, 2
2022-01-30, -8
2022-01-31, -8
